feature,importance
state_Multi-States_(Punjab__Rajasthan),0
state_Multi-States_(Rajasthan__Uttar_Pradesh),0
state_Multi-States_(Sikkim__West_Bengal),0
state_Multi-States_(Uttar_Pradesh__Uttarakhand),0
state_Multi-States_(Uttar_Pradesh__West_Bengal),0
state_Puducherry,0
sector_CIVIL_AVIATION,0
sector_COAL,0
sector_Construction,0
sector_DEPARTMENT_OF_HIGHER_EDUCATION,0
sector_HEALTH_AND_FAMILY_WELFARE,0
sector_HOME_AFFAIRS,0
sector_Inland_Waterways,0
sector_Logistics_Infrastructure,0
sector_MINES,0
sector_PETROLEUM,0
sector_POWER,0
sector_RAILWAYS,0
sector_SHIPPING_AND_PORTS,0
sector_STEEL,0
sector_Tourism__Hospitality___Wellness,0
sector_URBAN_DEVELOPMENT,0
ministry_final_Department_for_Promotion_of_Industry___Internal_Trade,0
ministry_final_Department_of_Sports,0
agency_final_AAI,0
agency_final_Adani_Airport_Holdings_Limited,0
agency_final_Adani_Transmission_Limited,0
agency_final_BCCL_-_CIL,0
agency_final_BSNL,0
agency_final_BUIDCO,0
agency_final_Banaras_Hindu_University,0
agency_final_Bengaluru_Metro_Rail,0
agency_final_Bharat_Coking_Coal_Limited_(BCCL),0
agency_final_Bharat_Coking_Coal_Limited_(BCCL)_duplicate_1,0
agency_final_CAO_C_II_NR,0
agency_final_CAO_C_NCR,0
agency_final_CAO_C_NR,0
agency_final_CAO_C_SECR,0
agency_final_CAO_C_SER,0
agency_final_CCL,0
agency_final_CCL_-_CIL,0
agency_final_CERL,0
agency_final_CORE,0
agency_final_CPM_ICF,0
agency_final_CPWD,0
agency_final_CPWD_EDUCATION,0
agency_final_CPWD_FOR_HEALTH,0
agency_final_CPWD_FOR_MHA,0
agency_final_CR,0
agency_final_CSPCC_Projects,0
agency_final_Central_Organisation_for_Railway_Electrification_(CORE),0
agency_final_Central_Public_Works_Department_(CPWD),0
agency_final_Central_Public_Works_Department_-_CPWD,0
agency_final_Central_Public_Works_Department_(CPWD)_duplicate_1,0
agency_final_Central_Railway,0
agency_final_Central_Railways,0
agency_final_Central_Tribal_University_of_Andhra_Pradesh,0
agency_final_Central_University_of_Gujarat,0
agency_final_Central_University_of_Punjab,0
agency_final_Central_University__Himachal_Pradesh,0
agency_final_CentralRailway,0
agency_final_Chennai_Metro_Rail_Limited_(CMRL),0
agency_final_Chennai_Petroleum_Corporation_Limited_(CPCL),0
agency_final_Construction_NER,0
agency_final_DFCCIL,0
agency_final_Damodar_Valley_Corporation,0
agency_final_Deendayal_Port_Trust,0
agency_final_Deendayal_Port_Trust_(DPT),0
agency_final_Delhi_Metro_Rail_Corporation_Limited_(DMRC),0
agency_final_Delhi_University,0
agency_final_Department_of_Sports___Youth_Affairs,0
agency_final_Department_of_Telecommunications,0
agency_final_Department_of_Water_Resources-JH,0
agency_final_Department_of_Water_Resources-MH,0
agency_final_Department_of_Water_Resources-PB,0
agency_final_ECL_-_CIL,0
agency_final_ECOR,0
agency_final_ECR,0
agency_final_EDTK(MC)_RB,0
agency_final_East_Central_Railway_(ECR)_-_II,0
agency_final_Eastern_Coal_Fields_Limited_(ECL),0
agency_final_Eastern_Railway_(ER)_-_I,0
agency_final_GAIL,0
agency_final_GAIL_Gas,0
agency_final_GM_C__NFR,0
agency_final_Gas_Authority_of_India_Limited_(GAIL),0
agency_final_Gujarat,0
agency_final_Gujarat_Metro_Rail_Corporation_Limited_(GMRCL),0
agency_final_Gurugram_Metro_Rail_Limited_(GMRL),0
agency_final_HITES,0
agency_final_HPCL,0
agency_final_Haldia_Dock_Complex__Syama_Prasad_Mookerjee_Port_Authority,0
agency_final_Hindustan_Copper_Limited_(HCL),0
agency_final_Hindustan_Petroleum_Corporation_Limited_(HPCL),0
agency_final_IISC_Bangalore,0
agency_final_INDIAN_INSTITUTE_OF_TECHNOLOGY_PALAKKAD,0
agency_final_IOCL,0
agency_final_Indian_Institute_of_Management__Jammu,0
agency_final_Indian_Institute_of_Management__Sirmaur,0
agency_final_Indian_Institute_of_Technology__Bhilai,0
